2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-wanted-bar-368-52-3-1-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-wanted-bar-368-52-3-1-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.834797+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 368, "y": 52}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.834797+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 368, "y": 52}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-bounty-bar-368-91-3-1-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-bounty-bar-368-91-3-1-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.835065+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 368, "y": 91}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.835065+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 368, "y": 91}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#D4E6C9", "h": 6, "id": "EDR-warning-clean-bar-372-44-3-6-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#D4E6C9", "h": 6, "id": "EDR-warning-clean-bar-372-44-3-6-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.835278+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 372, "y": 44}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.835278+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 372, "y": 44}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-wanted-bar-372-52-3-1-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-wanted-bar-372-52-3-1-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.835435+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 372, "y": 52}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.835435+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 372, "y": 52}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-bounty-bar-372-91-3-1-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-bounty-bar-372-91-3-1-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.835745+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 372, "y": 91}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.835745+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 372, "y": 91}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-clean-bar-376-49-3-1-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-clean-bar-376-49-3-1-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.836034+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 376, "y": 49}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.836034+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 376, "y": 49}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-wanted-bar-376-52-3-1-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-wanted-bar-376-52-3-1-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.836321+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 376, "y": 52}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.836321+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 376, "y": 52}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-bounty-bar-376-91-3-1-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-bounty-bar-376-91-3-1-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.836599+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 376, "y": 91}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.836599+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 376, "y": 91}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#D4E6C9", "h": 6, "id": "EDR-warning-clean-bar-380-44-3-6-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#D4E6C9", "h": 6, "id": "EDR-warning-clean-bar-380-44-3-6-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.836771+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 380, "y": 44}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.836771+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 380, "y": 44}
2025-11-16 21:05:03 [INFO] Overlay payload [LegacyOverlay] plugin=EDR: {"cmdr": "sweetjonnysauce", "color": "#", "docked": true, "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-wanted-bar-380-52-3-1-shape", "raw": {"color": "#", "event": "LegacyOverlay", "fill": "#E2E2E2", "h": 1, "id": "EDR-warning-wanted-bar-380-52-3-1-shape", "shape": "rect", "timestamp": "2025-11-16T21:05:03.836930+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 380, "y": 52}, "shape": "rect", "station": "Exogene Sciences", "system": "HIP 87621", "timestamp": "2025-11-16T21:05:03.836930+00:00", "ttl": 19, "type": "shape", "w": 3, "x": 380, "y": 52}
